('APT_WIN_Gh0st_ver', None, 'apt', 'Severe', '')
('TRELLIX_ARC_Ransom_Xinof_Chunk_PRIVATE', 75, 'ransomware', 'Severe', 'Detect chunk of Xinof ransomware')
('TRELLIX_ARC_Kelihos_Botnet_Pdb', 75, 'botnet', 'Severe', 'Rule to detect Kelihos malware based on PDB')
('TRELLIX_ARC_Masslogger_Stealer', 75, 'stealer', 'Medium', 'Rule to detect unpacked MassLogger stealer')
('TRELLIX_ARC_Malw_Medfos', 75, 'trojan', 'Medium', 'Rule to detect Medfos trojan based on PDB')
('TRELLIX_ARC_Backdoor_Kankan_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect kankan PDB')
('TRELLIX_ARC_Havex_Backdoor_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect backdoor Havex based on PDB')
('TRELLIX_ARC_Dropper_Demekaf_Pdb', 75, 'dropper', 'Medium', 'Rule to detect Demekaf dropper based on PDB')
('TRELLIX_ARC_Malw_Likseput_Backdoor_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Likseput backdoor based on the PDB')
('TRELLIX_ARC_Dridex_P2P_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Dridex P2P based on the PDB')
('TRELLIX_ARC_MALW_Fritzfrog', 75, 'botnet', 'Severe', 'Rule to detect Fritzfrog')
('TRELLIX_ARC_Malw_Cutwail_Pdb', 75, 'botnet', 'Severe', 'Rule to detect cutwail based on the PDB')
('TRELLIX_ARC_Malw_Mangzamel_Trojan', 75, 'trojan', 'Medium', 'Rule to detect Mangzamel  trojan based on PDB')
('TRELLIX_ARC_Malw_Inabot_Worm', 75, 'worm', 'Severe', 'Rule to detect inabot worm based on PDB')
('TRELLIX_ARC_Rovnix_Downloader', 75, 'downloader', 'Medium', 'Rovnix downloader with sinkhole checks')
('TRELLIX_ARC_Festi_Botnet_Pdb', 75, 'botnet', 'Severe', 'Rule to detect the Festi botnet based on PDB')
('TRELLIX_ARC_Vpnfilter', 75, 'backdoor', 'Medium', 'Filter for 2nd stage malware used in VPNfilter attack')
('TRELLIX_ARC_Downloader_Darkmegi_Pdb', 75, 'downloader', 'Medium', 'Rule to detect DarkMegi downloader based on PDB')
('TRELLIX_ARC_Malw_Browser_Fox_Adware', 75, 'adware', 'Low', 'Rule to detect Browser Fox Adware based on the PDB reference')
('TRELLIX_ARC_Redline_Payload', 75, 'backdoor', 'Medium', 'Rule to detect the RedLine payload')
('TRELLIX_ARC_MALW_Cobaltrike', 75, 'backdoor', 'Medium', 'Rule to detect CobaltStrike beacon')
('TRELLIX_ARC_Rietspoof_Loader', 75, 'ransomware', 'Severe', 'Rule to detect the Rietspoof loader')
('TRELLIX_ARC_Apt_Turla_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect a component of the APT Turla')
('TRELLIX_ARC_Apt_Flamer_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Flamer based on the PDB')
('TRELLIX_ARC_Hermeticwiper', 75, 'trojan', 'Medium', 'Detecting variants of Hermetic Wiper malware discovered in UA')
('TRELLIX_ARC_Karkoff_Dnspionaje', 75, 'backdoor', 'Medium', 'Rule to detect the Karkoff malware')
('TRELLIX_ARC_APT_Winnti', 75, 'backdoor', 'Medium', 'Detects Winnti variants')
('TRELLIX_ARC_Ixeshe_Bled_Malware_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Ixeshe_bled malware based on PDB')
('TRELLIX_ARC_Poison_Ivy_Softcell', 75, 'rat', 'Severe', 'Rule to detect Poison Ivy used in the SoftCell operation')
('TRELLIX_ARC_Trochilus_Softcell', 75, 'trojan', 'Medium', 'Rule to detect Trochilus malware used in the SoftCell operation')
('TRELLIX_ARC_Mangzamel_Softcell', 75, 'trojan', 'Medium', 'Rule to detect Mangzamel used in the SoftCell operation')
('TRELLIX_ARC_Mimikatz_Utility_Softcell', 75, 'hacktool', 'Medium', 'Rule to detect Mimikatz utility used in the SoftCell operation')
('TRELLIX_ARC_APT_Acidbox_Main_Module_Dll', 75, 'backdoor', 'Medium', 'Rule to detect the Main mode component of AcidBox')
('TRELLIX_ARC_APT_Acidbox_Ssp_Dll_Module', 75, 'backdoor', 'Medium', 'Rule to detect the SSP DLL component of AcidBox')
